generation,stra.1,stra.15,stra.71,stra.138,stra.195,stra.197,stra.229,stra.233,stra.237,stra.257
551400,0,0,0,0,0,0,0,7.09E-197,3.16E-07,0.986656
551500,0,0,0,0,0,0,0,1.15E-216,2.29E-07,0.987778
551600,0,0,0,0,0,0,0,1.89E-236,1.66E-07,0.986933
551700,0,0,0,0,0,0,0,3.08E-256,1.21E-07,0.988416
551800,0,0,0,0,0,0,0,5.00E-276,8.71E-08,0.988873
551900,0,0,0,0,0,0,0,8.20E-296,6.32E-08,0.989385
552000,0,0,0,0,0,0,0,1.3473e-315,4.58E-08,0.988852
552100,0,0,0,0,0,0,0,4.94066e-324,3.34E-08,0.986118
552200,0,0,0,0,0,1.46E-69,0,4.94066e-324,2.41E-08,0.98673
552300,0,0,0,0,0,0,0,4.94066e-324,1.73E-08,0.987408
552400,0,0,0,0,0,0,0,4.94066e-324,1.25E-08,0.987605
552500,0,0,0,0,1.87E-13,1.33E-103,0,4.94066e-324,8.78E-09,0.98723
552600,0,0,0,0,6.69E-51,0,0,4.94066e-324,5.71E-09,0.986274
552700,0,0,0,0,2.42E-88,0,0,5.28E-20,3.75E-09,0.984822
552800,0,0,0,0,8.55E-126,0,0,7.25E-40,2.41E-09,0.98741
552900,0,0,0,0,2.74E-163,0,0,1.08E-59,1.64E-09,0.98824
553000,0,0,0,0,9.06E-201,0,0,1.70E-79,1.17E-09,0.988214
553100,0,0,0,0,3.24E-238,0,0,2.73E-99,8.40E-10,0.987885
553200,0,1.05E-11,0,0,1.18E-275,0,0,4.44E-119,6.13E-10,0.988251
553300,0,1.04E-49,0,0,4.22615e-313,0,0,7.22E-139,4.46E-10,0.988041
553400,0,1.03E-87,0,0,0,0,0,1.18E-158,3.25E-10,0.988081
553500,0,1.16E-125,0,0,0,0,0,1.92E-178,2.36E-10,0.987638
553600,0,1.45E-163,0,0,0,0,0,3.09E-198,1.70E-10,0.985218
553700,4.10E-84,1.96E-201,0,0,0,0,0,4.92E-218,1.23E-10,0.984973
553800,1.99E-280,2.62E-239,0,0,0,0,0,7.50E-238,8.73E-11,0.984006
553900,0,3.64E-277,0,0,0,0,0,1.30E-15,6.26E-11,0.985154
554000,0,5.07907e-315,0,0,0,0,0,1.99E-35,4.41E-11,0.984989
554100,0,0,0,0,0,0,0,3.07E-55,3.17E-11,0.984566
554200,0,0,0,0,0,0,0,4.65E-75,2.26E-11,0.985056
554300,0,2.72E-39,0,0,0,0,0,6.90E-95,1.59E-11,0.984455
554400,0,3.82E-77,0,0,0,0,0,2.70E-07,1.12E-11,0.985191
554500,0,5.26E-115,0,6.86E-38,0,0,0,3.98E-27,7.78E-12,0.984903
554600,0,7.75E-153,0,5.19E-75,0,0,0,5.71E-47,5.32E-12,0.98185
554700,0,1.12E-190,0,3.97E-112,0,0,0,8.00E-67,3.51E-12,0.983247
554800,0,1.94E-29,0,3.13E-149,0,0,0,1.13E-86,0.000836923,0.982602
554900,0,3.02E-67,0,2.57E-186,0,0,0,1.58E-106,0.000563423,0.983891
555000,0,4.17E-105,0,2.02E-223,0,0,0,2.21E-126,0.000378303,0.985159
555100,0,4.55E-23,0,1.54E-260,0,0,0,3.10E-146,0.000255928,0.985821
555200,0,4.94E-61,0,1.13E-297,0,0,0,4.31E-166,0.000170957,0.986178
555300,0,5.27E-99,0,0,0,0,0,6.08E-186,0.000115275,0.985414
555400,0,6.43E-137,0,0,0,0,0,8.41E-206,7.78E-05,0.984767
555500,0,8.14E-175,0,0,8.59E-39,0,0,1.16E-225,5.19E-05,0.983381
555600,0,1.26E-212,0,0,5.49E-76,2.97E-106,0,1.58E-245,3.48E-05,0.983076
555700,0,2.25E-250,0,0,3.89E-113,0,0,2.11E-265,2.32E-05,0.983154
555800,0,3.74E-288,0,0,2.70E-150,0,4.87E-12,2.69E-285,1.49E-05,0.982776
555900,0,0,5.63E-24,0,1.62E-187,0,8.01E-50,3.50E-305,9.71E-06,0.98437
556000,0,0,6.18E-70,0,1.02E-224,0,1.39E-87,4.94066e-324,6.27E-06,0.983008
556100,0,0,5.20E-116,0,5.97E-262,0,2.32E-125,4.94066e-324,3.90E-06,0.982668
556200,0,0,3.33E-162,0,2.91E-40,0,4.22E-163,4.94066e-324,2.51E-06,0.984232
556300,0,0,1.96E-208,0,1.48E-77,0,8.32E-201,4.94066e-324,1.65E-06,0.985058
556400,0,0,1.11E-254,0,7.41E-115,0,1.65E-238,4.94066e-324,1.07E-06,0.984203
556500,0,0,6.64E-301,0,3.62E-152,0,3.53E-276,4.94066e-324,7.12E-07,0.985365
556600,0,0,0,0,1.64E-189,0,7.21754e-314,4.94066e-324,4.80E-07,0.986808
556700,0,0,0,0,6.53E-227,0,0,4.94066e-324,3.34E-07,0.98774
556800,0,0,0,0,2.42E-264,0,0,4.94066e-324,2.34E-07,0.989023
556900,0,0,0,0,8.40E-302,0,0,4.94066e-324,1.66E-07,0.98974
557000,0,0,0,0,0,0,0,4.94066e-324,1.19E-07,0.989323
557100,0,0,0,0,0,0,0,4.94066e-324,8.15E-08,0.988395
