generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
109,0,0,1.34E-173,2.11E-159,0,0,6.72E-79,0,0,1.98E-77,1.16E-69,5.44E-21,2.41E-55,7.52E-06,5.77E-12,0,0.999992484
110,0,0,8.48E-176,2.79E-161,0,0,9.09E-80,0,0,2.68E-78,1.60E-70,2.11E-21,6.21E-56,7.49E-06,5.78E-12,0,0.999992514
111,0,0,5.39E-178,3.70E-163,0,0,1.23E-80,0,0,3.62E-79,2.21E-71,8.19E-22,1.60E-56,7.46E-06,5.78E-12,0,0.999992543
112,0,0,3.42E-180,4.89E-165,0,0,1.66E-81,0,0,4.90E-80,3.05E-72,3.18E-22,4.10E-57,7.43E-06,5.79E-12,0,0.999992573
113,0,0,2.17E-182,6.47E-167,0,0,2.24E-82,0,0,6.63E-81,4.22E-73,1.23E-22,1.05E-57,7.40E-06,5.79E-12,0,0.999992602
114,0,0,1.38E-184,8.55E-169,0,0,3.03E-83,0,0,8.98E-82,5.83E-74,4.79E-23,2.71E-58,7.37E-06,5.80E-12,0,0.999992631
115,0,0,8.77E-187,1.13E-170,0,0,4.10E-84,0,0,1.21E-82,8.05E-75,1.86E-23,6.97E-59,7.34E-06,5.80E-12,0,0.99999266
116,0,0,5.57E-189,1.50E-172,0,0,5.54E-85,0,0,1.64E-83,1.11E-75,7.21E-24,1.79E-59,7.31E-06,5.81E-12,0,0.999992689
117,0,0,3.51E-191,1.78E-174,0,0,7.44E-86,0,0,2.21E-84,1.54E-76,2.79E-24,4.59E-60,7.26E-06,5.80E-12,0,0.999992744
118,0,0,2.23E-193,2.36E-176,0,0,1.01E-86,0,0,3.00E-85,2.12E-77,1.08E-24,1.18E-60,7.23E-06,5.80E-12,0,0.999992772
119,0,0,1.42E-195,3.12E-178,0,0,1.36E-87,0,0,4.05E-86,2.93E-78,4.20E-25,3.03E-61,7.20E-06,5.81E-12,0,0.999992801
120,0,0,8.95E-198,3.72E-180,0,0,1.82E-88,0,0,5.46E-87,4.05E-79,1.62E-25,7.76E-62,7.15E-06,5.80E-12,0,0.999992854
121,0,0,5.68E-200,4.92E-182,0,0,2.47E-89,0,0,7.39E-88,5.59E-80,6.30E-26,1.99E-62,7.12E-06,5.80E-12,0,0.999992883
122,0,0,3.61E-202,6.51E-184,0,0,3.33E-90,0,0,1.00E-88,7.72E-81,2.44E-26,5.13E-63,7.09E-06,5.81E-12,0,0.999992911
123,0,0,2.29E-204,8.61E-186,0,0,4.51E-91,0,0,1.35E-89,1.07E-81,9.49E-27,1.32E-63,7.06E-06,5.81E-12,0,0.999992939
124,0,0,1.46E-206,1.14E-187,0,0,6.09E-92,0,0,1.83E-90,1.47E-82,3.68E-27,3.39E-64,7.03E-06,5.82E-12,0,0.999992966
125,0,0,9.25E-209,1.51E-189,0,0,8.23E-93,0,0,2.48E-91,2.04E-83,1.43E-27,8.71E-65,7.01E-06,5.82E-12,0,0.999992994
126,0,0,5.88E-211,1.99E-191,0,0,1.11E-93,0,0,3.35E-92,2.81E-84,5.55E-28,2.24E-65,6.98E-06,5.83E-12,0,0.999993022
127,0,0,3.73E-213,2.64E-193,0,0,1.50E-94,0,0,4.54E-93,3.89E-85,2.15E-28,5.76E-66,6.95E-06,5.83E-12,0,0.999993049
128,0,0,2.37E-215,3.49E-195,0,0,2.03E-95,0,0,6.14E-94,5.37E-86,8.36E-29,1.48E-66,6.92E-06,5.84E-12,0,0.999993077
129,0,0,1.45E-217,4.52E-197,0,0,2.74E-96,0,0,8.29E-95,7.36E-87,3.23E-29,3.80E-67,6.89E-06,5.83E-12,1.00E-03,0.998993245
130,0,0,8.83E-220,5.87E-199,0,0,3.70E-97,0,0,1.12E-95,1.01E-87,1.25E-29,9.76E-68,6.86E-06,5.84E-12,0.001000738,0.9989924
131,0,0,5.39E-222,7.62E-201,0,0,5.00E-98,0,0,1.52E-96,1.39E-88,4.85E-30,2.51E-68,6.84E-06,5.84E-12,0.001001608,0.998991554
132,0,0,3.15E-224,9.70E-203,0,0,6.69E-99,0,0,2.04E-97,1.89E-89,1.87E-30,6.42E-69,0.001001748,5.83E-12,9.99E-04,0.997999152
133,0,0,1.85E-226,1.24E-204,0,0,8.96E-100,0,0,2.75E-98,2.58E-90,7.25E-31,1.65E-69,9.98E-04,5.83E-12,9.99E-04,0.998003714
134,0,0,1.08E-228,1.58E-206,0,0,1.20E-100,0,0,3.71E-99,3.52E-91,2.80E-31,4.22E-70,9.94E-04,5.82E-12,9.98E-04,0.998008251
